Date,RoomAvailable,DeskAvailable,RoomDeskAdjusted,RoomSmoothed,RoomExtraSmoothed,Forecast,Type,CombinedLine,CombinedSmoothedLine
2024-08-25,4812.0,114500.0,4800.402071696964,4777.314993689159,4775.201397616707,,Historical,4775.201397616707,4775.201397616707
2024-08-26,4789.0,114500.0,4777.457506516367,4777.314993689159,4775.201397616707,,Historical,4775.201397616707,4775.201397616707
2024-08-27,4800.0,114500.0,4788.430994211435,4777.314993689159,4775.201397616707,,Historical,4775.201397616707,4775.201397616707
2024-08-28,4814.0,114500.0,4802.3972512778855,4777.314993689159,4775.201397616707,,Historical,4775.201397616707,4775.201397616707
2024-08-29,4762.0,114500.0,4750.522582173929,4779.342333244362,4775.201397616707,,Historical,4775.201397616707,4775.201397616707
2024-08-30,4754.0,114500.0,4742.541863850242,4779.015688799698,4775.201397616707,,Historical,4775.201397616707,4775.0579930798585
2024-08-31,4791.0,114500.0,4779.452686097289,4779.720685882969,4775.201397616707,,Historical,4775.201397616707,4774.73705148675
2024-09-01,4763.0,113000.0,4814.593448583385,4773.520747311661,4775.201397616707,,Historical,4775.201397616707,4774.171791821138
2024-09-02,4724.0,113000.0,4775.170995403719,4778.4154659474125,4774.19756585877,,Historical,4774.19756585877,4773.494292092924
2024-09-03,4742.0,113000.0,4793.3659737943335,4785.904629332329,4772.954806464944,,Historical,4772.954806464944,4772.756582270365
2024-09-04,4708.0,113000.0,4758.997681278727,4779.103896895247,4771.244579957422,,Historical,4771.244579957422,4772.015420273032
2024-09-05,4700.0,112200.0,4784.7856126241895,4766.84675289213,4770.45889951921,,Historical,4770.45889951921,4771.247288004723
2024-09-06,4710.0,112200.0,4794.966007544667,4763.2755063908235,4770.037428858792,,Historical,4770.037428858792,4770.626206184754
2024-09-07,4648.0,112200.0,4731.847559037709,4758.413885180632,4770.013263635378,,Historical,4770.013263635378,4770.1749458111735
2024-09-08,4645.0,112200.0,4728.793440561566,4763.261349078038,4769.824471738541,,Historical,4769.824471738541,4769.8927720011825
2024-09-09,4666.0,112200.0,4750.172269894568,4759.916362175595,4769.849993118992,,Historical,4769.849993118992,4769.6754493415
2024-09-10,4675.0,112200.0,4759.334625322997,4753.37182258386,4769.795983849881,,Historical,4769.795983849881,4769.582664558613
2024-09-11,4708.0,112200.0,4792.929928560571,4766.315467554181,4769.269363287482,,Historical,4769.269363287482,4769.5807448205305
2024-09-12,4677.0,112200.0,4761.370704307093,4773.4417439985145,4768.937640901434,,Historical,4768.937640901434,4769.773981077398
2024-09-13,4665.0,112200.0,4749.154230402521,4778.677375671904,4769.387935378582,,Historical,4769.387935378582,4770.171334584414
2024-09-14,4737.0,112200.0,4822.4530738299545,4777.077599327256,4769.999825468801,,Historical,4769.999825468801,4770.81384731461
2024-09-15,4694.0,112200.0,4778.677375671904,4773.878046637964,4771.177125536613,,Historical,4771.177125536613,4771.840268251018
2024-09-16,4702.0,112200.0,4786.821691608286,4777.659336179856,4772.6314676681095,,Historical,4772.6314676681095,4773.10848505811
2024-09-17,4664.0,112200.0,4748.136190910473,4778.531941458753,4774.293572961249,,Historical,4774.293572961249,4774.410319573243
2024-09-18,4686.0,112200.0,4770.533059735522,4774.4597834905635,4776.45430984233,,Historical,4776.45430984233,4775.687070166837
2024-09-19,4703.0,112200.0,4787.839731100333,4773.150875572216,4777.815158551088,,Historical,4777.815158551088,4776.972233723854
2024-09-20,4671.0,112200.0,4755.262467354806,4771.84196765387,4778.500776984508,,Historical,4778.500776984508,4778.2900457777
2024-09-21,4709.0,112200.0,4793.947968052619,4774.896086130013,4778.937079623957,,Historical,4778.937079623957,4779.728063660781
2024-09-22,4685.0,112200.0,4769.515020243474,4783.622138918993,4780.173270435729,,Historical,4780.173270435729,4781.419849405583
2024-09-23,4693.0,112200.0,4777.659336179856,4783.185836279544,4781.856152045032,,Historical,4781.856152045032,4783.64439925774
2024-09-24,4685.0,112200.0,4769.515020243474,4783.622138918993,4784.359698142823,,Historical,4784.359698142823,4786.701485779049
2024-09-25,4746.0,112200.0,4831.615429258384,4785.367349476788,4788.296810055946,,Historical,4788.296810055946,4790.769191679491
2024-09-26,4700.0,112200.0,4784.7856126241895,4783.040402066394,4793.387007516184,,Historical,4793.387007516184,4795.719891016912
2024-09-27,4674.0,112200.0,4758.316585830949,4784.7856126241895,4799.900382633673,,Historical,4799.900382633673,4801.422989803995
2024-09-28,4721.0,112200.0,4806.164441957191,4794.384270692068,4807.411020927046,,Historical,4807.411020927046,4807.740473940507
2024-09-29,4669.0,112200.0,4753.226388370711,4797.438389168211,4814.828165797679,,Historical,4814.828165797679,4814.474968422887
2024-09-30,4705.0,112200.0,4789.875810084428,4812.708981548926,4821.777843554616,,Historical,4821.777843554616,4821.4513585863215
2024-10-01,4751.0,112200.0,4836.705626718623,4833.651508242479,4828.582087098404,,Historical,4828.582087098404,4828.42923277234
2024-10-02,4767.0,112200.0,4852.994258591386,4845.722547933902,4835.438271432604,,Historical,4835.438271432604,4835.27206090329
2024-10-03,4805.0,112200.0,4891.679759289198,4864.33812721706,4842.221738660228,,Historical,4842.221738660228,4841.935322301679
2024-10-04,4818.0,112200.0,4904.914272685818,4876.990903761082,4848.745501935799,,Historical,4848.745501935799,4848.456117532083
2024-10-05,4804.0,112200.0,4890.661719797151,4878.736114318877,4855.310817843698,,Historical,4855.310817843698,4854.739469149181
2024-10-06,4797.0,112200.0,4883.535443352816,4880.917627516123,4861.470995586395,,Historical,4861.470995586395,4860.564257788084
2024-10-07,4792.0,112200.0,4878.445245892578,4878.445245892578,4867.42341016745,,Historical,4867.42341016745,4865.838474048635
2024-10-08,4763.0,112200.0,4848.922100623195,4879.608719597775,4872.565548418099,,Historical,4872.565548418099,4870.44339612418
2024-10-09,4782.0,112200.0,4868.264850972101,4880.335890663524,4876.211791904922,,Historical,4876.211791904922,4874.220233598322
2024-10-10,4788.0,112200.0,4874.373087924388,4874.373087924388,4879.14125248408,,Historical,4879.14125248408,4877.235767487303
2024-10-11,4826.0,112200.0,4913.0585886222,4876.700035334782,4880.9799564646155,,Historical,4880.9799564646155,4879.558262829947
2024-10-12,4809.0,112200.0,4895.751917257389,4880.626759089822,4881.748680162692,,Historical,4881.748680162692,4881.288633161913
2024-10-13,4756.0,112200.0,4841.795824178861,4880.772193302973,4882.579732809261,,Historical,4882.579732809261,4882.582700854428
2024-10-14,4808.0,112200.0,4894.733877765341,4884.698917058014,4883.6808775659665,,Historical,4883.6808775659665,4883.459758201076
2024-10-15,4790.0,112200.0,4876.409166908483,4884.698917058014,4884.67814074185,,Historical,4884.67814074185,4884.123116295748
2024-10-16,4783.0,112200.0,4869.282890464149,4886.73499604211,4885.270265752531,,Historical,4885.270265752531,4884.743437735509
2024-10-17,4815.0,112200.0,4901.860154209675,4890.079982944552,4885.280653910612,,Historical,4885.280653910612,4885.310334362276
2024-10-18,4826.0,112200.0,4913.0585886222,4887.753035534157,4885.623463127323,,Historical,4885.623463127323,4885.7451529791415
2024-10-19,4823.0,112200.0,4910.0044701460565,4890.370851370851,4886.090930241017,,Historical,4886.090930241017,4886.077574037769
2024-10-20,4779.0,112200.0,4865.210732495958,4896.333654109987,4886.548009196631,,Historical,4886.548009196631,4886.4604518642245
